Date and Time:                Wed Jul 31 18:24:30.000 2024
Software Version:             4.32.30065.0
Temperature (C):              -80
Model:                        DU970P_BVF
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         10
Accumulate Cycle Time (secs): 10
Frequency (Hz):               0.1
Number of Accumulations:      30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 4.88
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                28257
Pre-Amplifier Gain:           4.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY328i:
Serial Number:                
Wavelength (nm):              842
Grating Groove Density (l/mm):1200
Grating Blaze:                500NM
Input Flipper Port:           Side
Output Flipper Port:          Direct



817.89807	11437
817.92865	11447
817.95923	11474
817.98981	11475
818.02039	11364
818.05096	11443
818.08154	11353
818.11212	11483
818.1427	11446
818.17328	11462
818.20386	11443
818.23444	11414
818.26501	11423
818.29559	11547
818.32617	11556
818.35675	11486
818.38733	11413
818.41785	11493
818.44843	11463
818.479	11529
818.50958	11440
818.54016	11511
818.57068	11498
818.60126	11481
818.63184	11482
818.66241	11352
818.69293	11484
818.72351	11468
818.75409	11322
818.78461	11554
818.81519	11531
818.84576	11488
818.87628	11594
818.90686	11475
818.93738	11488
818.96796	11633
818.99847	11470
819.02905	11499
819.05957	11459
819.09015	11597
819.12067	11560
819.15125	11512
819.18176	11477
819.21234	11460
819.24286	11555
819.27338	11601
819.30396	11523
819.33447	11573
819.36499	11492
819.39557	11568
819.42609	11581
819.4566	11631
819.48718	11598
819.5177	11443
819.54822	11543
819.57874	11591
819.60925	11736
819.63983	11471
819.67035	11595
819.70087	11531
819.73138	11642
819.7619	11646
819.79242	11510
819.82294	11604
819.85345	11592
819.88397	11598
819.91455	11621
819.94507	11674
819.97559	11540
820.0061	11559
820.03662	11649
820.06708	11584
820.0976	11668
820.12811	11614
820.15863	11757
820.18915	11557
820.21967	11623
820.25018	11554
820.2807	11717
820.31122	11642
820.34167	11592
820.37219	11704
820.40271	11712
820.43323	11639
820.46368	11623
820.4942	11664
820.52472	11656
820.55518	11645
820.58569	11584
820.61621	11715
820.64667	11511
820.67719	11744
820.7077	11903
820.73816	11666
820.76868	11681
820.79913	11550
820.82965	11470
820.86011	11700
820.89063	11689
820.92108	11724
820.9516	11517
820.98206	11655
821.01257	11593
821.04303	11675
821.07355	11685
821.104	11755
821.13446	11727
821.16498	11731
821.19543	11681
821.22589	11825
821.25641	11798
821.28687	11680
821.31732	11616
821.34784	11746
821.3783	11671
821.40875	11845
821.43921	11689
821.46967	11664
821.50018	11697
821.53064	11908
821.5611	11662
821.59155	11652
821.62201	11674
821.65247	11675
821.68292	11694
821.71338	11810
821.74384	11696
821.77429	11784
821.80475	11832
821.83521	11711
821.86566	11636
821.89612	11759
821.92657	11785
821.95703	11806
821.98749	11731
822.01794	11650
822.0484	11840
822.07886	11778
822.10931	11879
822.13971	11696
822.17017	11763
822.20062	11778
822.23108	11810
822.26154	11816
822.29193	11640
822.32239	11804
822.35284	11716
822.38324	11767
822.4137	11852
822.44415	11896
822.47455	11745
822.505	11789
822.53546	11802
822.56586	11711
822.59631	11844
822.62671	11967
822.65717	11778
822.68756	11885
822.71802	11889
822.74841	11860
822.77887	11848
822.80927	11866
822.83972	11883
822.87012	11920
822.90057	11837
822.93097	11921
822.96136	11836
822.99182	11879
823.02222	11827
823.05261	11989
823.08307	11856
823.11346	11839
823.14386	11941
823.17432	11791
823.20471	11856
823.23511	11825
823.2655	11914
823.2959	11848
823.32635	11921
823.35675	12032
823.38715	11877
823.41754	11825
823.44794	11914
823.47833	12010
823.50873	11855
823.53912	11966
823.56952	11981
823.59991	11932
823.63031	11918
823.66071	11876
823.6911	11928
823.7215	12026
823.75189	11991
823.78229	11997
823.81268	11998
823.84308	11840
823.87347	12029
823.90387	11992
823.9342	12054
823.9646	12043
823.995	12069
824.02539	12090
824.05579	12052
824.08612	12063
824.11652	12185
824.14691	12198
824.17725	12186
824.20764	12208
824.23804	12107
824.26837	12045
824.29877	12192
824.32916	12187
824.3595	11956
824.38989	12235
824.42023	12142
824.45062	12188
824.48102	12267
824.51135	12149
824.54175	12240
824.57208	12239
824.60242	12264
824.63281	12251
824.66315	12317
824.69354	12114
824.72388	12229
824.75421	12328
824.78461	12143
824.81494	12296
824.84528	12382
824.87567	12191
824.90601	12401
824.93634	12374
824.96674	12251
824.99707	12247
825.0274	12361
825.05774	12507
825.08807	12464
825.11847	12337
825.1488	12394
825.17914	12263
825.20947	12465
825.23981	12503
