Date and Time:                Wed Jul 31 19:25:07.000 2024
Software Version:             4.32.30065.0
Temperature (C):              -80
Model:                        DU970P_BVF
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         10
Accumulate Cycle Time (secs): 10
Frequency (Hz):               0.1
Number of Accumulations:      30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 4.88
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                28257
Pre-Amplifier Gain:           4.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY328i:
Serial Number:                
Wavelength (nm):              842
Grating Groove Density (l/mm):1200
Grating Blaze:                500NM
Input Flipper Port:           Side
Output Flipper Port:          Direct



817.89807	11417
817.92865	11460
817.95923	11529
817.98981	11486
818.02039	11409
818.05096	11323
818.08154	11378
818.11212	11547
818.1427	11426
818.17328	11497
818.20386	11472
818.23444	11513
818.26501	11550
818.29559	11417
818.32617	11371
818.35675	11466
818.38733	11473
818.41785	11431
818.44843	11250
818.479	11458
818.50958	11418
818.54016	11481
818.57068	11449
818.60126	11416
818.63184	11459
818.66241	11521
818.69293	11396
818.72351	11481
818.75409	11485
818.78461	11499
818.81519	11419
818.84576	11352
818.87628	11488
818.90686	11415
818.93738	11435
818.96796	11477
818.99847	11585
819.02905	11463
819.05957	11532
819.09015	11438
819.12067	11509
819.15125	11555
819.18176	11542
819.21234	11453
819.24286	11483
819.27338	11450
819.30396	11606
819.33447	11377
819.36499	11454
819.39557	11496
819.42609	11486
819.4566	11480
819.48718	11458
819.5177	11423
819.54822	11552
819.57874	11470
819.60925	11490
819.63983	11460
819.67035	11376
819.70087	11621
819.73138	11540
819.7619	11566
819.79242	11476
819.82294	11623
819.85345	11475
819.88397	11617
819.91455	11632
819.94507	11431
819.97559	11667
820.0061	11490
820.03662	11563
820.06708	11544
820.0976	11632
820.12811	11520
820.15863	11649
820.18915	11544
820.21967	11510
820.25018	11654
820.2807	11449
820.31122	11523
820.34167	11641
820.37219	11624
820.40271	11610
820.43323	11531
820.46368	11668
820.4942	11623
820.52472	11551
820.55518	11588
820.58569	11664
820.61621	11618
820.64667	11599
820.67719	11577
820.7077	11718
820.73816	11555
820.76868	11561
820.79913	11476
820.82965	11714
820.86011	11631
820.89063	11549
820.92108	11509
820.9516	11472
820.98206	11775
821.01257	11778
821.04303	11645
821.07355	11625
821.104	11615
821.13446	11607
821.16498	11611
821.19543	11613
821.22589	11594
821.25641	11727
821.28687	11526
821.31732	11683
821.34784	11798
821.3783	11654
821.40875	11687
821.43921	11757
821.46967	11694
821.50018	11531
821.53064	11718
821.5611	11741
821.59155	11714
821.62201	11868
821.65247	11647
821.68292	11525
821.71338	11628
821.74384	11557
821.77429	11728
821.80475	11675
821.83521	11679
821.86566	11668
821.89612	11740
821.92657	11692
821.95703	11735
821.98749	11737
822.01794	11697
822.0484	11728
822.07886	11746
822.10931	11630
822.13971	11791
822.17017	11779
822.20062	11613
822.23108	11828
822.26154	11823
822.29193	11623
822.32239	11674
822.35284	11700
822.38324	11810
822.4137	11721
822.44415	11782
822.47455	11705
822.505	11742
822.53546	11633
822.56586	11853
822.59631	11800
822.62671	11809
822.65717	11587
822.68756	11898
822.71802	11786
822.74841	11662
822.77887	11841
822.80927	11718
822.83972	11761
822.87012	11779
822.90057	11850
822.93097	11728
822.96136	11847
822.99182	11791
823.02222	11799
823.05261	11645
823.08307	11785
823.11346	11831
823.14386	11764
823.17432	11897
823.20471	11806
823.23511	11835
823.2655	11852
823.2959	11942
823.32635	11917
823.35675	11788
823.38715	11944
823.41754	11936
823.44794	11833
823.47833	11751
823.50873	11931
823.53912	11858
823.56952	11919
823.59991	11832
823.63031	11956
823.66071	11855
823.6911	11901
823.7215	11869
823.75189	11991
823.78229	12007
823.81268	11821
823.84308	11935
823.87347	11963
823.90387	11986
823.9342	11976
823.9646	11958
823.995	11879
824.02539	12002
824.05579	12101
824.08612	11975
824.11652	12081
824.14691	11927
824.17725	12102
824.20764	12072
824.23804	12043
824.26837	12066
824.29877	12029
824.32916	12167
824.3595	12222
824.38989	11997
824.42023	12130
824.45062	12243
824.48102	12189
824.51135	12058
824.54175	12280
824.57208	12178
824.60242	12156
824.63281	12293
824.66315	12085
824.69354	12069
824.72388	12243
824.75421	12354
824.78461	12113
824.81494	12224
824.84528	12210
824.87567	12173
824.90601	12299
824.93634	12361
824.96674	12323
824.99707	12331
825.0274	12263
825.05774	12186
825.08807	12341
825.11847	12409
825.1488	12280
825.17914	12283
825.20947	12240
825.23981	12417
