Date and Time:                Wed Jul 31 19:36:34.000 2024
Software Version:             4.32.30065.0
Temperature (C):              -80
Model:                        DU970P_BVF
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         2
Accumulate Cycle Time (secs): 2
Frequency (Hz):               0.5
Number of Accumulations:      6
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 4.88
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                28257
Pre-Amplifier Gain:           4.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY328i:
Serial Number:                
Wavelength (nm):              842
Grating Groove Density (l/mm):1200
Grating Blaze:                500NM
Input Flipper Port:           Side
Output Flipper Port:          Direct



817.89807	1919
817.92865	1897
817.95923	1918
817.98981	1898
818.02039	1905
818.05096	1899
818.08154	1931
818.11212	1909
818.1427	1943
818.17328	1919
818.20386	1883
818.23444	1910
818.26501	1896
818.29559	1888
818.32617	1929
818.35675	1920
818.38733	1923
818.41785	1905
818.44843	1884
818.479	1901
818.50958	1886
818.54016	1948
818.57068	1929
818.60126	1915
818.63184	1924
818.66241	1887
818.69293	1929
818.72351	1907
818.75409	1916
818.78461	1904
818.81519	1902
818.84576	1909
818.87628	1924
818.90686	1909
818.93738	1901
818.96796	1894
818.99847	1922
819.02905	1883
819.05957	1915
819.09015	1917
819.12067	1954
819.15125	1888
819.18176	1907
819.21234	1902
819.24286	1927
819.27338	1923
819.30396	1915
819.33447	1926
819.36499	1891
819.39557	1883
819.42609	1936
819.4566	1906
819.48718	1894
819.5177	1916
819.54822	1937
819.57874	1921
819.60925	1899
819.63983	1922
819.67035	1923
819.70087	1915
819.73138	1876
819.7619	1898
819.79242	1937
819.82294	1888
819.85345	1912
819.88397	1892
819.91455	1875
819.94507	1886
819.97559	1895
820.0061	1910
820.03662	1923
820.06708	1894
820.0976	1880
820.12811	1955
820.15863	1911
820.18915	1923
820.21967	1916
820.25018	1915
820.2807	1901
820.31122	1970
820.34167	1891
820.37219	1927
820.40271	1934
820.43323	1927
820.46368	1900
820.4942	1912
820.52472	1925
820.55518	1914
820.58569	1931
820.61621	1904
820.64667	1911
820.67719	1910
820.7077	1906
820.73816	1917
820.76868	1914
820.79913	1925
820.82965	1903
820.86011	1898
820.89063	1927
820.92108	1922
820.9516	1927
820.98206	1929
821.01257	1920
821.04303	1900
821.07355	1951
821.104	1907
821.13446	1931
821.16498	1896
821.19543	1910
821.22589	1892
821.25641	1905
821.28687	1915
821.31732	1907
821.34784	1921
821.3783	1941
821.40875	1946
821.43921	1896
821.46967	1923
821.50018	1927
821.53064	1929
821.5611	1903
821.59155	1914
821.62201	1956
821.65247	1911
821.68292	1915
821.71338	1923
821.74384	1903
821.77429	1914
821.80475	1901
821.83521	1891
821.86566	1903
821.89612	1936
821.92657	1952
821.95703	1955
821.98749	1943
822.01794	1903
822.0484	1927
822.07886	1939
822.10931	1921
822.13971	1919
822.17017	1923
822.20062	1913
822.23108	1916
822.26154	1925
822.29193	1941
822.32239	1904
822.35284	1894
822.38324	1905
822.4137	1922
822.44415	1937
822.47455	1907
822.505	1909
822.53546	1929
822.56586	1921
822.59631	1913
822.62671	1901
822.65717	1929
822.68756	1938
822.71802	1942
822.74841	1929
822.77887	1926
822.80927	1906
822.83972	1884
822.87012	1927
822.90057	1909
822.93097	1920
822.96136	1932
822.99182	1948
823.02222	1936
823.05261	1948
823.08307	1906
823.11346	1932
823.14386	1938
823.17432	1927
823.20471	1917
823.23511	1916
823.2655	1914
823.2959	1915
823.32635	1908
823.35675	1952
823.38715	1921
823.41754	1923
823.44794	1964
823.47833	1959
823.50873	1920
823.53912	1923
823.56952	1923
823.59991	1922
823.63031	1939
823.66071	1925
823.6911	1924
823.7215	1951
823.75189	1941
823.78229	1914
823.81268	1942
823.84308	1917
823.87347	1936
823.90387	1934
823.9342	1931
823.9646	1947
823.995	1954
824.02539	1909
824.05579	1923
824.08612	1958
824.11652	1934
824.14691	1925
824.17725	1936
824.20764	1942
824.23804	1934
824.26837	1911
824.29877	1937
824.32916	1945
824.3595	1954
824.38989	1972
824.42023	1949
824.45062	1929
824.48102	1927
824.51135	1917
824.54175	1926
824.57208	1954
824.60242	1951
824.63281	1966
824.66315	1940
824.69354	1938
824.72388	1903
824.75421	1923
824.78461	1957
824.81494	1954
824.84528	1949
824.87567	1950
824.90601	1943
824.93634	1931
824.96674	1979
824.99707	1916
825.0274	1934
825.05774	1957
825.08807	1942
825.11847	1941
825.1488	1931
825.17914	1935
825.20947	1950
825.23981	1964
