Date and Time:                Wed Jul 31 19:35:22.000 2024
Software Version:             4.32.30065.0
Temperature (C):              -80
Model:                        DU970P_BVF
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         2
Accumulate Cycle Time (secs): 2
Frequency (Hz):               0.5
Number of Accumulations:      6
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 4.88
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                28257
Pre-Amplifier Gain:           4.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY328i:
Serial Number:                
Wavelength (nm):              842
Grating Groove Density (l/mm):1200
Grating Blaze:                500NM
Input Flipper Port:           Side
Output Flipper Port:          Direct



817.89807	1929
817.92865	1970
817.95923	1956
817.98981	1972
818.02039	1920
818.05096	1977
818.08154	1984
818.11212	1944
818.1427	1941
818.17328	1945
818.20386	1968
818.23444	1945
818.26501	1957
818.29559	1992
818.32617	1958
818.35675	1958
818.38733	1944
818.41785	1969
818.44843	1972
818.479	1967
818.50958	1984
818.54016	1964
818.57068	1946
818.60126	1962
818.63184	1966
818.66241	1964
818.69293	1951
818.72351	1953
818.75409	1946
818.78461	1926
818.81519	1957
818.84576	1974
818.87628	1966
818.90686	1936
818.93738	1964
818.96796	1942
818.99847	1958
819.02905	1957
819.05957	1940
819.09015	1976
819.12067	1996
819.15125	1950
819.18176	1951
819.21234	1985
819.24286	1987
819.27338	1963
819.30396	1981
819.33447	1987
819.36499	1923
819.39557	1970
819.42609	1943
819.4566	1955
819.48718	1981
819.5177	1949
819.54822	1953
819.57874	1976
819.60925	1974
819.63983	1959
819.67035	1975
819.70087	1930
819.73138	1944
819.7619	1966
819.79242	1951
819.82294	1994
819.85345	1941
819.88397	1976
819.91455	1956
819.94507	1938
819.97559	1959
820.0061	1955
820.03662	1949
820.06708	1982
820.0976	1972
820.12811	1975
820.15863	1978
820.18915	1983
820.21967	1954
820.25018	1974
820.2807	1965
820.31122	1980
820.34167	1974
820.37219	1950
820.40271	1944
820.43323	1953
820.46368	1958
820.4942	1993
820.52472	1961
820.55518	1969
820.58569	1948
820.61621	1946
820.64667	1975
820.67719	1953
820.7077	2019
820.73816	1963
820.76868	1981
820.79913	1978
820.82965	1976
820.86011	1978
820.89063	1927
820.92108	1921
820.9516	1970
820.98206	1981
821.01257	1970
821.04303	1956
821.07355	1989
821.104	1963
821.13446	1988
821.16498	1951
821.19543	1948
821.22589	1966
821.25641	1951
821.28687	1983
821.31732	1946
821.34784	1963
821.3783	1961
821.40875	1972
821.43921	1981
821.46967	1951
821.50018	1985
821.53064	1927
821.5611	1982
821.59155	1940
821.62201	1939
821.65247	1962
821.68292	1973
821.71338	1946
821.74384	1962
821.77429	1954
821.80475	1986
821.83521	1981
821.86566	1977
821.89612	1964
821.92657	1970
821.95703	1952
821.98749	1923
822.01794	1953
822.0484	1973
822.07886	1980
822.10931	1989
822.13971	1958
822.17017	1993
822.20062	1975
822.23108	1952
822.26154	1959
822.29193	1981
822.32239	1966
822.35284	1977
822.38324	1988
822.4137	2011
822.44415	2009
822.47455	1968
822.505	1968
822.53546	1979
822.56586	1989
822.59631	1955
822.62671	1943
822.65717	1977
822.68756	1977
822.71802	1963
822.74841	1986
822.77887	1978
822.80927	1972
822.83972	1977
822.87012	1979
822.90057	1989
822.93097	1948
822.96136	1968
822.99182	1980
823.02222	1958
823.05261	1983
823.08307	2001
823.11346	1968
823.14386	1971
823.17432	1994
823.20471	1972
823.23511	1963
823.2655	1946
823.2959	1965
823.32635	1965
823.35675	1964
823.38715	1970
823.41754	1947
823.44794	1986
823.47833	1975
823.50873	1964
823.53912	1988
823.56952	1968
823.59991	1966
823.63031	1965
823.66071	1962
823.6911	1977
823.7215	1944
823.75189	1988
823.78229	1962
823.81268	1967
823.84308	1980
823.87347	2017
823.90387	1966
823.9342	1994
823.9646	1989
823.995	1996
824.02539	1976
824.05579	1968
824.08612	1983
824.11652	1977
824.14691	1971
824.17725	1971
824.20764	1981
824.23804	1951
824.26837	1977
824.29877	1968
824.32916	1979
824.3595	1960
824.38989	1977
824.42023	1954
824.45062	1989
824.48102	1928
824.51135	1947
824.54175	2001
824.57208	1969
824.60242	1998
824.63281	1958
824.66315	2003
824.69354	1998
824.72388	1966
824.75421	1986
824.78461	1981
824.81494	1970
824.84528	1983
824.87567	1945
824.90601	2003
824.93634	1991
824.96674	1961
824.99707	1997
825.0274	2009
825.05774	1990
825.08807	2006
825.11847	1967
825.1488	1978
825.17914	1989
825.20947	2012
825.23981	1992
